"slice","model","accuracy"
"has_mention","baseline_model","0.6971153846153846"
"has_mention","candidate_model","0.27403846153846156"
"emoji_gt3","baseline_model","0"
"emoji_gt3","candidate_model","1"
"has_negation","baseline_model","0.5714285714285714"
"has_negation","candidate_model","0.35714285714285715"
"has_hashtag","baseline_model","0.6683937823834197"
"has_hashtag","candidate_model","0.46113989637305697"
"has_contrast","baseline_model","0.72"
"has_contrast","candidate_model","0.52"
"many_exclamations","baseline_model","0.7142857142857143"
"many_exclamations","candidate_model","0.5714285714285714"
"has_url","baseline_model","0.5"
"has_url","candidate_model","0.5625"
